2026-03-28 21:24:39,716 INFO     Starting server at tcp:port=8000:interface=0.0.0.0
2026-03-28 21:24:39,717 INFO     HTTP/2 support not enabled (install the http2 and tls Twisted extras)
2026-03-28 21:24:39,718 INFO     Configuring endpoint tcp:port=8000:interface=0.0.0.0
2026-03-28 21:24:39,720 INFO     Listening on TCP address 0.0.0.0:8000
net.ipv4.ip_forward = 1
127.0.0.1:58144 - - [28/Mar/2026:21:25:01] "POST /api/update/" 200 34
127.0.0.1:58148 - - [28/Mar/2026:21:25:01] "POST /api/update/" 200 34
127.0.0.1:58160 - - [28/Mar/2026:21:25:01] "POST /api/update/" 200 34
127.0.0.1:58164 - - [28/Mar/2026:21:25:01] "POST /api/update/" 200 34
127.0.0.1:58172 - - [28/Mar/2026:21:25:01] "POST /api/update/" 200 34
127.0.0.1:58180 - - [28/Mar/2026:21:25:01] "POST /api/update/" 200 34
127.0.0.1:58190 - - [28/Mar/2026:21:25:01] "POST /api/update/" 200 34
127.0.0.1:58196 - - [28/Mar/2026:21:25:01] "POST /api/update/" 200 34
127.0.0.1:58208 - - [28/Mar/2026:21:25:01] "POST /api/update/" 200 34
127.0.0.1:58224 - - [28/Mar/2026:21:25:01] "POST /api/update/" 200 34
127.0.0.1:58238 - - [28/Mar/2026:21:25:02] "POST /api/update/" 200 34
127.0.0.1:58242 - - [28/Mar/2026:21:25:02] "POST /api/update/" 200 34
127.0.0.1:58250 - - [28/Mar/2026:21:25:02] "POST /api/update/" 200 34
127.0.0.1:58260 - - [28/Mar/2026:21:25:02] "POST /api/update/" 200 34
127.0.0.1:58268 - - [28/Mar/2026:21:25:02] "POST /api/update/" 200 34
127.0.0.1:58280 - - [28/Mar/2026:21:25:02] "POST /api/update/" 200 34
127.0.0.1:58290 - - [28/Mar/2026:21:25:02] "POST /api/update/" 200 34
127.0.0.1:58294 - - [28/Mar/2026:21:25:02] "POST /api/update/" 200 34
127.0.0.1:58306 - - [28/Mar/2026:21:25:02] "POST /api/update/" 200 34
127.0.0.1:58320 - - [28/Mar/2026:21:25:02] "POST /api/update/" 200 34
127.0.0.1:58334 - - [28/Mar/2026:21:25:03] "POST /api/update/" 200 34
127.0.0.1:58338 - - [28/Mar/2026:21:25:03] "POST /api/update/" 200 34
127.0.0.1:58354 - - [28/Mar/2026:21:25:03] "POST /api/update/" 200 34
127.0.0.1:58362 - - [28/Mar/2026:21:25:03] "POST /api/update/" 200 34
127.0.0.1:58376 - - [28/Mar/2026:21:25:03] "POST /api/update/" 200 34
127.0.0.1:58380 - - [28/Mar/2026:21:25:03] "POST /api/update/" 200 34
127.0.0.1:58392 - - [28/Mar/2026:21:25:03] "POST /api/update/" 200 34
127.0.0.1:58404 - - [28/Mar/2026:21:25:03] "POST /api/update/" 200 34
127.0.0.1:58412 - - [28/Mar/2026:21:25:03] "POST /api/update/" 200 34
127.0.0.1:58420 - - [28/Mar/2026:21:25:03] "POST /api/update/" 200 34
127.0.0.1:58428 - - [28/Mar/2026:21:25:03] "POST /api/update/" 200 34
127.0.0.1:58444 - - [28/Mar/2026:21:25:03] "POST /api/update/" 200 34
127.0.0.1:58448 - - [28/Mar/2026:21:25:03] "POST /api/update/" 200 34
127.0.0.1:58454 - - [28/Mar/2026:21:25:03] "POST /api/update/" 200 34
127.0.0.1:58458 - - [28/Mar/2026:21:25:03] "POST /api/update/" 200 34
127.0.0.1:58464 - - [28/Mar/2026:21:25:03] "POST /api/update/" 200 34
127.0.0.1:58478 - - [28/Mar/2026:21:25:03] "POST /api/update/" 200 34
127.0.0.1:58488 - - [28/Mar/2026:21:25:03] "POST /api/update/" 200 34
127.0.0.1:58494 - - [28/Mar/2026:21:25:04] "POST /api/update/" 200 34
127.0.0.1:58500 - - [28/Mar/2026:21:25:04] "POST /api/update/" 200 34
127.0.0.1:58508 - - [28/Mar/2026:21:25:04] "POST /api/update/" 200 34
127.0.0.1:58516 - - [28/Mar/2026:21:25:04] "POST /api/update/" 200 34
127.0.0.1:58532 - - [28/Mar/2026:21:25:04] "POST /api/update/" 200 34
127.0.0.1:58536 - - [28/Mar/2026:21:25:04] "POST /api/update/" 200 34
127.0.0.1:58540 - - [28/Mar/2026:21:25:04] "POST /api/update/" 200 34
127.0.0.1:58556 - - [28/Mar/2026:21:25:04] "POST /api/update/" 200 34
127.0.0.1:58558 - - [28/Mar/2026:21:25:04] "POST /api/update/" 200 34
127.0.0.1:58572 - - [28/Mar/2026:21:25:04] "POST /api/update/" 200 34
127.0.0.1:58582 - - [28/Mar/2026:21:25:04] "POST /api/update/" 200 34
127.0.0.1:58592 - - [28/Mar/2026:21:25:04] "POST /api/update/" 200 34
127.0.0.1:58604 - - [28/Mar/2026:21:25:04] "POST /api/update/" 200 34
127.0.0.1:58620 - - [28/Mar/2026:21:25:04] "POST /api/update/" 200 34
192.168.1.8:57374 - - [28/Mar/2026:21:25:04] "POST /api/network/spoof/start/" 200 67
127.0.0.1:58636 - - [28/Mar/2026:21:25:04] "POST /api/update/" 200 34
127.0.0.1:58642 - - [28/Mar/2026:21:25:04] "POST /api/update/" 200 34
127.0.0.1:58658 - - [28/Mar/2026:21:25:04] "POST /api/update/" 200 34
127.0.0.1:58666 - - [28/Mar/2026:21:25:04] "POST /api/update/" 200 34
127.0.0.1:58682 - - [28/Mar/2026:21:25:04] "POST /api/update/" 200 34
127.0.0.1:58694 - - [28/Mar/2026:21:25:04] "POST /api/update/" 200 34
127.0.0.1:58702 - - [28/Mar/2026:21:25:04] "POST /api/update/" 200 34
127.0.0.1:58718 - - [28/Mar/2026:21:25:04] "POST /api/update/" 200 34
127.0.0.1:58734 - - [28/Mar/2026:21:25:05] "POST /api/update/" 200 34
127.0.0.1:58746 - - [28/Mar/2026:21:25:05] "POST /api/update/" 200 34
127.0.0.1:58754 - - [28/Mar/2026:21:25:05] "POST /api/update/" 200 34
127.0.0.1:58768 - - [28/Mar/2026:21:25:05] "POST /api/update/" 200 34
127.0.0.1:58782 - - [28/Mar/2026:21:25:05] "POST /api/update/" 200 34
127.0.0.1:58798 - - [28/Mar/2026:21:25:05] "POST /api/update/" 200 34
127.0.0.1:58802 - - [28/Mar/2026:21:25:05] "POST /api/update/" 200 34
127.0.0.1:58808 - - [28/Mar/2026:21:25:05] "POST /api/update/" 200 34
127.0.0.1:58822 - - [28/Mar/2026:21:25:05] "POST /api/update/" 200 34
127.0.0.1:58838 - - [28/Mar/2026:21:25:05] "POST /api/update/" 200 34
127.0.0.1:58852 - - [28/Mar/2026:21:25:05] "POST /api/update/" 200 34
127.0.0.1:58862 - - [28/Mar/2026:21:25:05] "POST /api/update/" 200 34
127.0.0.1:58878 - - [28/Mar/2026:21:25:05] "POST /api/update/" 200 34
127.0.0.1:58880 - - [28/Mar/2026:21:25:05] "POST /api/update/" 200 34
127.0.0.1:58888 - - [28/Mar/2026:21:25:05] "POST /api/update/" 200 34
127.0.0.1:58902 - - [28/Mar/2026:21:25:05] "POST /api/update/" 200 34
127.0.0.1:58904 - - [28/Mar/2026:21:25:05] "POST /api/update/" 200 34
127.0.0.1:58908 - - [28/Mar/2026:21:25:05] "POST /api/update/" 200 34
127.0.0.1:58918 - - [28/Mar/2026:21:25:05] "POST /api/update/" 200 34
127.0.0.1:58922 - - [28/Mar/2026:21:25:05] "POST /api/update/" 200 34
127.0.0.1:58930 - - [28/Mar/2026:21:25:05] "POST /api/update/" 200 34
127.0.0.1:58932 - - [28/Mar/2026:21:25:05] "POST /api/update/" 200 34
127.0.0.1:58936 - - [28/Mar/2026:21:25:05] "POST /api/update/" 200 34
127.0.0.1:58938 - - [28/Mar/2026:21:25:05] "POST /api/update/" 200 34
127.0.0.1:58954 - - [28/Mar/2026:21:25:05] "POST /api/update/" 200 34
